,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2018-01-29,68.419998,68.660004,68.330002,68.349998,3639327,60.327477
2018-01-30,67.93,68.199997,66.739998,67.230003,4629282,59.33894
2018-01-31,67.209999,67.269997,66.440002,66.599998,3423328,58.782883
2018-02-01,67.230003,67.620003,65.860001,66.629997,3816246,58.809361
2018-02-02,66.480003,66.629997,65.540001,66,3800872,58.253307
2018-02-05,65.25,66.480003,65.010002,65.379997,4418384,57.706078
2018-02-06,62.450001,65.18,61.380001,63.25,8757723,55.826088
2018-02-07,64.050003,64.879997,63.02,64.550003,6000938,56.973503
2018-02-08,64.589996,65.709999,63.939999,64.419998,5868679,56.858757
2018-02-09,64.07,64.660004,62.25,63.200001,7487093,55.781956
2018-02-12,63.740002,64.279999,63.130001,63.369999,4501988,55.931999
2018-02-13,63.52,63.77,62.939999,63,3965654,55.605431
2018-02-14,63.439999,64.050003,62.77,63.580002,4670268,56.117355
2018-02-15,64.199997,64.93,63.700001,63.900002,4155361,56.399796
2018-02-16,64.199997,64.93,63.889999,64.650002,4358106,57.061764
2018-02-19,64.800003,65.129997,64.610001,64.610001,1679014,57.026459
2018-02-20,64.540001,65.129997,64.199997,65.080002,2423621,57.441292
2018-02-21,65.239998,65.379997,64.309998,64.949997,2473461,57.32655
2018-02-22,64.639999,65.279999,64.519997,65.099998,2664594,57.458946
2018-02-23,65.230003,65.290001,64.559998,64.889999,1874015,57.273594
2018-02-26,65.110001,65.160004,64.610001,64.870003,2018193,57.255943
2018-02-27,65.220001,65.82,64.93,65.519997,3175607,57.829643
2018-02-28,65.190002,66.040001,65.190002,65.370003,2975611,57.697258
2018-03-01,65.110001,65.199997,64.050003,64.709999,3389069,57.114719
2018-03-02,64.050003,64.260002,62.619999,62.880001,5513707,55.499516
2018-03-05,62.939999,63.330002,61.630001,62.060001,5342205,54.775764
2018-03-06,62.700001,63.32,62.439999,62.439999,3500809,55.11116
2018-03-07,62.209999,62.68,61.650002,62.490002,3006570,55.155293
2018-03-08,62.68,63.689999,62.310001,62.950001,3354021,55.561302
2018-03-09,62.970001,63.450001,62.560001,62.93,2565228,55.543648
2018-03-12,63.25,63.43,62.669998,62.880001,1972156,55.499516
2018-03-13,62.919998,63.560001,62.439999,62.580002,3248641,55.23473
2018-03-14,62.459999,62.599998,61.34,61.630001,3767349,54.396233
2018-03-15,61.869999,62.02,61.509998,61.810001,3499805,54.555107
2018-03-16,61.91,62.849998,61.759998,62.450001,7559838,55.119987
